epoch,train_loss,train_acc,val_loss,val_acc
0,0.011765510775148869,0.22976287816843827,0.042598698288202286,0.2516714422158548
1,0.010723916813731194,0.2870673207958572,0.04351091384887695,0.32664756446991405
2,0.010906009934842587,0.3470291632597438,0.038315024226903915,0.31709646609360076
3,0.010609041899442673,0.3794630689561188,0.041386354714632034,0.41117478510028654
4,0.008673748932778835,0.40256200599618425,0.03155707195401192,0.4059216809933142
5,0.00868606474250555,0.420073589533933,0.03284377232193947,0.41499522445081183
6,0.00884297676384449,0.43199781956936495,0.03404967859387398,0.4584527220630373
7,0.009734263643622398,0.46082038702643774,0.033729955554008484,0.4780324737344795
8,0.009150386787950993,0.4827609702916326,0.03151513636112213,0.4899713467048711
9,0.008175475522875786,0.4996593077132734,0.02772536501288414,0.5291308500477555
10,0.007555891759693623,0.5158762605614609,0.02724432200193405,0.5405921680993314
11,0.007769046351313591,0.5302534750613246,0.02843843773007393,0.5544412607449857
12,0.007441144436597824,0.541019351321886,0.02640385739505291,0.561127029608405
13,0.007340909913182259,0.5524666121559008,0.026221128180623055,0.5606494746895893
14,0.007602241355925798,0.5650722267647861,0.03055267222225666,0.5888252148997135
15,0.0073525686748325825,0.5759062414826929,0.031142331659793854,0.5859598853868195
16,0.006763279438018799,0.5887844099209594,0.02586086466908455,0.5878701050620821
17,0.00691462866961956,0.5893976560370673,0.029768453910946846,0.5725883476599809
18,0.005962545983493328,0.5969610248023984,0.023749228566884995,0.6060171919770774
19,0.007046407554298639,0.6068411011174707,0.025202970951795578,0.6055396370582617
