epoch,train_loss,train_acc,val_loss,val_acc
1,0.0007437016465701163,0.33844842284739984,0.008580404333770275,0.3507138423339541
2,0.000671573041472584,0.3379059133534837,0.008191442117094994,0.32464307883302296
3,0.0006784891593270004,0.3465085638998682,0.008122689090669155,0.3507138423339541
4,0.0006684217369183898,0.34340850964891884,0.007818183861672878,0.3507138423339541
5,0.0007107160054147243,0.3499961249321863,0.008322091773152351,0.3507138423339541
6,0.0007069353014230728,0.3448810354181198,0.008295767940580845,0.3507138423339541
7,0.0006882945308461785,0.340153452685422,0.008338995277881622,0.3507138423339541
8,0.000687922874931246,0.34317600558009764,0.008253560401499271,0.3507138423339541
9,0.0006621551583521068,0.3480585910253429,0.008357147686183453,0.3507138423339541
10,0.0007025881786830723,0.34449352863675115,0.008083812892436981,0.32464307883302296
