epoch,train_loss,train_acc,val_loss,val_acc
0,0.0007089131395332515,0.28645407467974926,0.011426715180277824,0.333810888252149
1,0.00066132633946836,0.38109839193240663,0.010220702737569809,0.37774594078319007
2,0.0005728914402425289,0.4632052330335241,0.01141837053000927,0.5157593123209169
3,0.0004518800415098667,0.5204415372035978,0.008807452395558357,0.5085959885386819
4,0.000483965064631775,0.568819841918779,0.01100644376128912,0.5936007640878701
5,0.0001824091305024922,0.6121559007904062,0.010159428231418133,0.606494746895893
6,0.00026918668299913406,0.6476560370673208,0.006463387981057167,0.6552053486150907
7,0.00015455009997822344,0.6700735895339329,0.005826462991535664,0.6991404011461319
8,0.000608123722486198,0.699577541564459,0.005304237827658653,0.6929321872015282
9,0.0002729080733843148,0.7238348323793949,0.005697211250662804,0.7144221585482331
